Kristina;Kata
Insecure;Insecure
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Insecure;Insecure
Friendly;Friendly
Insecure;Insecure
Friendly;Friendly
Insecure_Offensive;Insecure_Offensive
Insecure_Offensive;Insecure
Offensive;Insecure
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Insecure_Offensive;Insecure_Offensive
Insecure_Offensive;Insecure_Offensive
Insecure;Insecure
Insecure_Offensive;Insecure
Neutral;Neutral
Insecure_Offensive;Offensive
Offensive;Offensive
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Insecure_Offensive;Insecure_Offensive
Insecure_Offensive ;Insecure_Offensive
Insecure;Insecure
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Friendly;Friendly
Insecure_Offensive;Insecure_Offensive
Friendly;Friendly
Insecure;Insecure
Friendly;Friendly
Insecure_Offensive;Offensive
Offensive;Friendly
Friendly;Offensive
Friendly;Friendly
Insecure_Offensive;Offensive
Friendly;Friendly
Offensive;Offensive
Friendly;Friendly
Insecure;Insecure
Friendly;Insecure
Friendly;Insecure
Friendly;Insecure
Offensive;Offensive
Offensive;Friendly
Offensive;Offensive
Friendly;Friendly
Offensive;Offensive
Insecure_Offensive;Neutral
Insecure;Insecure
Insecure;Insecure
Offensive;Offensive
Friendly;Friendly
Offensive;Friendly
Friendly;Friendly
Insecure;Insecure
Offensive;Offensive
Offensive;Offensive
Offensive;Offensive
Insecure;Neutral
Insecure;Neutral
Offensive;Offensive
Friendly;Friendly
Insecure;Insecure
Friendly;Insecure
Friendly;Friendly
Friendly;Friendly
Offensive;Offensive
Offensive;Offensive
Offensive;Offensive
Offensive;Friendly
Offensive;Offensive
Offensive;Offensive
Neutral;Insecure
Neutral;Neutral
