;subject;breed;age;sex;condition;side_fakedog;side_chair;blocking.sum;non.off.manipulation.sum;dom.beh.sum;interaction.dog.sum;sniffing.dog.sum;blocking.presence;non.off.manipulation.presence;dom.beh.presence;interaction.dog.presence;sniffing.dog.presence;first_approach;Start;first_approach_dog;human;treatment;first_approach_KA;Start_KA;first_approach_dog_KA
1;Aeden;Border_Collie;138;male;SM;left;left;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;S;M;NA;NA;NA
2;Akin;Rhodesian_Ridgeback;126;male;CM;left;left;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;C;M;NA;NA;NA
3;Akina;Akita_Inu;133;female;SM;left;left;0;0;1;0;4;0;0;1;0;1;fake_dog;332.72;1;S;M;fake_dog;332.44;1
4;Ame;Akita_Inu;42;male;CP;right;left;0;0;0;0;11;0;0;0;0;1;fake_dog;327.04;1;C;P;fake_dog;327.08;1
5;Amie;mixbreed;18;female;CP;right;right;5;8;0;1;14;1;1;0;1;1;fake_dog;339.56;1;C;P;fake_dog;339.72;1
6;Amy8;Border_Collie;114;female;CM;left;right;1;0;0;0;2;1;0;0;0;1;human;362.04;0;C;M;human;362.24;0
7;Anouk3;Labrador_Retriever;41;female;SP;right;left;6;3;0;7;14;1;1;0;1;1;human;321.88;0;S;P;human;321.96;1
8;Apryl;Border_Collie;127;female;CM;left;left;3;0;0;0;3;1;0;0;0;1;human;310.2;0;C;M;human;310.68;0
9;Arielle;Border_Collie;53;female;SP;right;left;0;0;0;0;1;0;0;0;0;1;fake_dog;348.92;1;S;P;fake_dog;351.08;1
10;Arkani2;Belgian_Tervuren;64;male;CM;left;left;0;6;2;0;17;0;1;1;0;1;human;351.84;0;C;M;human;352.2;0
11;Baerbel;mixbreed;60;female;SM;right;left;0;0;1;0;7;0;0;1;0;1;human;340.04;0;S;M;human;340.68;0
12;Bailey2;Stafforshire_Bullterrier;65;female;SP;left;left;8;0;0;4;22;1;0;0;1;1;fake_dog;313.56;1;S;P;fake_dog;313.8;1
13;Balian;Border_Collie;115;male;SP;left;left;0;0;1;1;10;0;0;1;1;1;fake_dog;318.36;1;S;P;fake_dog;318.36;1
14;Barbarix2;Bearded_Collie;78;male;CM;left;right;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;C;M;NA;NA;NA
15;Batman;Jack_Russel_Terrier;142;male;SP;right;left;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;S;P;NA;NA;NA
16;Bella5;Kangal;86;female;SM;left;left;0;0;0;0;7;0;0;0;0;1;fake_dog;317.32;1;S;M;fake_dog;317.44;1
17;Blacky4;mixbreed;99;male;CM;left;right;2;0;3;1;7;1;0;1;1;1;fake_dog;334.96;1;C;M;fake_dog;335.44;1
18;Butzi;Welsh_Corgi_Pembroke;112;male;SP;right;right;0;0;0;0;4;0;0;0;0;1;fake_dog;330.68;1;S;P;NA;NA;NA
19;Cameron;Border_Collie;84;male;CM;right;right;0;0;0;0;3;0;0;0;0;1;fake_dog;317.28;1;C;M;fake_dog;317.44;1
20;Campino;Romanian_Mioritic_Shepherd_dog;31;male;SM;right;right;0;0;0;0;7;0;0;0;0;1;fake_dog;311.68;1;S;M;NA;NA;NA
21;Carlisle;Border_Collie;105;male;CP;left;left;0;2;0;1;7;0;1;0;1;1;fake_dog;312.88;1;C;P;fake_dog;313.04;1
22;Cassy3;mixbreed;78;female;SM;left;right;0;0;0;0;1;0;0;0;0;1;human;353.44;0;S;M;NA;NA;NA
23;Charly5;Spanish_water_dog;36;male;SP;left;left;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;S;P;NA;NA;NA
24;Chasie;Border_Collie;125;female;SM;right;left;3;0;0;0;19;1;0;0;0;1;fake_dog;307.12;1;S;M;fake_dog;307.28;1
25;Cindy7;mixbreed;155;female;SP;left;right;0;0;0;0;3;0;0;0;0;1;fake_dog;318.92;1;S;P;fake_dog;319.04;1
26;Cliff;Border_Collie;65;male;CM;left;right;6;43;3;1;17;1;1;1;1;1;human;312.68;0;C;M;human;312.56;0
27;Dada;mixbreed;41;female;SM;right;left;0;0;0;0;6;0;0;0;0;1;fake_dog;324.48;1;S;M;NA;NA;NA
28;Dante;Galgo;56;male;CP;left;left;0;2;0;0;13;0;1;0;0;1;fake_dog;319.68;1;C;P;NA;NA;NA
29;Dottie;mixbreed;108;female;CP;left;left;0;2;1;2;6;0;1;1;1;1;fake_dog;360.76;1;C;P;fake_dog;360.76;1
30;Dusty;Border_Collie;27;female;CM;left;left;0;0;0;0;6;0;0;0;0;1;human;323.04;0;C;M;NA;NA;NA
31;Eisbaer;Malteser;18;male;SP;right;right;0;0;2;0;7;0;0;1;0;1;fake_dog;310.84;1;S;P;NA;NA;NA
32;Emil6;mixbreed;87;male;CP;left;left;6;0;0;2;12;1;0;0;1;1;fake_dog;330.88;1;C;P;fake_dog;330.96;1
33;Emil7;Parson_Russel_Terrier;51;male;CM;right;left;6;3;0;0;16;1;1;0;0;1;fake_dog;336.88;1;C;M;fake_dog;336.92;1
34;Emily2;Border_Collie;136;female;CP;right;left;0;0;0;0;3;0;0;0;0;1;fake_dog;324.76;1;C;P;NA;NA;NA
35;Emily7;mixbreed;130;female;SP;right;left;0;0;0;0;7;0;0;0;0;1;fake_dog;335.2;1;S;P;NA;NA;NA
36;Emma7;German_Shepherd;76;female;SM;left;left;0;0;1;0;10;0;0;1;0;1;fake_dog;309.28;1;S;M;fake_dog;309.36;1
37;Eowyn;mixbreed;22;female;CM;right;right;1;0;0;0;17;1;0;0;0;1;fake_dog;325.2;1;C;M;NA;NA;NA
38;Fiby2;French_bulldog;58;female;CM;right;left;0;0;0;0;7;0;0;0;0;1;human;330.56;0;C;M;human;309.36;0
39;Finja2;mixbreed;27;female;CM;right;left;0;1;0;3;22;0;1;0;1;1;fake_dog;350.24;1;C;M;fake_dog;350.4;1
40;Finn7;Iceland_dog;17;male;SM;left;right;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;S;M;NA;NA;NA
41;Flamme;Pyrenean_Sheep_dog_smooth_faced;138;male;SM;left;left;0;0;0;0;6;0;0;0;0;1;fake_dog;311.52;1;S;M;NA;NA;NA
42;Freya;mixbreed;71;female;SP;right;right;0;0;2;1;10;0;0;1;1;1;fake_dog;326.32;1;S;P;NA;NA;NA
43;Gatsby;Border_Collie;110;male;SM;right;right;1;0;0;0;8;1;0;0;0;1;fake_dog;311.76;1;S;M;fake_dog;311.88;1
44;Gismo4;mixbreed;55;male;CP;right;right;2;0;0;1;7;1;0;0;1;1;human;331.48;0;C;P;fake_dog;334.56;1
45;Grisu2;Magyar_Viszla;10;male;CM;right;left;3;2;1;4;9;1;1;1;1;1;human;313.6;0;C;M;human;313.48;0
46;Guinness3;mixbreed;88;male;SM;left;left;0;0;0;0;3;0;0;0;0;1;fake_dog;316.56;1;S;M;NA;NA;NA
47;Hagrid;mixbreed;115;male;CP;right;right;2;0;0;1;13;1;0;0;1;1;fake_dog;327.92;1;C;P;fake_dog;327.72;1
48;Hailey;Golden_retriever;83;female;SP;left;left;1;0;0;1;6;1;0;0;1;1;human;320.04;0;S;P;human;320.12;0
49;Hanya;German_Shepherd;60;female;SP;right;right;0;0;0;0;4;0;0;0;0;1;fake_dog;332.72;1;S;P;NA;NA;NA
50;Helena;Standard_Poodle;97;female;CM;right;left;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;C;M;NA;NA;NA
51;Jia;Labrador_Retriever;28;female;CM;right;right;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;C;M;NA;NA;NA
52;Jo-jo3;Kangal;63;male;CP;right;left;1;0;0;0;14;1;0;0;0;1;fake_dog;337.72;1;C;P;NA;NA;NA
53;Jolie;mixbreed;113;female;CM;right;left;0;0;0;0;4;0;0;0;0;1;human;329.96;0;C;M;NA;NA;NA
54;Kayleigh;Border_Collie;97;female;CP;left;right;0;0;0;0;6;0;0;0;0;1;human;323.88;0;C;P;NA;NA;NA
55;Kiki2;mixbreed;56;female;CM;right;right;1;0;1;0;21;1;0;1;0;1;fake_dog;315;1;C;M;fake_dog;315.08;1
56;Laiki;mixbreed;105;male;SP;left;left;1;0;1;0;6;1;0;1;0;1;fake_dog;324.52;1;S;P;fake_dog;324.52;1
57;Leia;Beagle;94;female;CP;left;left;0;0;0;0;3;0;0;0;0;1;fake_dog;330.04;1;C;P;NA;NA;NA
58;Lenni;mixbreed;80;male;CM;right;right;0;0;0;0;7;0;0;0;0;1;fake_dog;326.84;1;C;M;NA;NA;NA
59;Levi;mixbreed;48;male;SP;left;left;1;0;0;0;6;1;0;0;0;1;fake_dog;319.36;1;S;P;fake_dog;319.48;1
60;Linus;Australian_Shepherd;64;male;SP;right;right;2;7;0;4;18;1;1;0;1;1;fake_dog;310.52;1;S;P;fake_dog;310.56;1
61;Luca2;Scotia_Duck_Trolling_Retriever;39;male;SM;left;right;0;0;0;0;2;0;0;0;0;1;fake_dog;315.88;1;S;M;NA;NA;NA
62;Lumpi;mixbreed;48;male;CM;left;left;1;0;0;0;9;1;0;0;0;1;human;326.08;0;C;M;NA;NA;NA
63;Maedi;mixbreed;99;female;CM;left;left;0;0;0;0;5;0;0;0;0;1;human;354.68;0;C;M;NA;NA;NA
64;Maeva;Border_Collie;101;female;SP;left;right;0;0;0;0;2;0;0;0;0;1;fake_dog;322.36;1;S;P;NA;NA;NA
65;Marlboro;Whippet;35;male;SM;right;left;1;0;0;0;12;1;0;0;0;1;fake_dog;314.52;1;S;M;fake_dog;314.56;1
66;Maroni;Miniature_Pinscher;82;male;CP;left;left;1;0;1;0;10;1;0;1;0;1;human;321.04;0;C;P;fake_dog;321.36;1
67;Maylo;mixbreed;46;male;SP;right;right;0;0;0;0;7;0;0;0;0;1;fake_dog;477.4;1;S;P;NA;NA;NA
68;Maylo2;Golden_retriever;64;male;CM;right;right;3;0;0;0;19;1;0;0;0;1;fake_dog;312.84;1;C;M;fake_dog;312.72;1
69;Mia;Golden_retriever;29;female;CP;right;left;1;0;0;2;18;1;0;0;1;1;fake_dog;312.84;1;C;P;fake_dog;312.84;1
70;Milow;mixbreed;102;male;SP;left;right;0;0;0;0;14;0;0;0;0;1;fake_dog;315.16;1;S;P;NA;NA;NA
71;Miss Face;Alaska_Husky;145;female;CP;right;right;0;0;0;0;5;0;0;0;0;1;fake_dog;323.68;1;C;P;NA;NA;NA
72;Monty2;Border_Collie;116;male;CP;left;right;0;0;0;0;5;0;0;0;0;1;human;343.4;0;C;P;NA;NA;NA
73;Muesli;Border_Collie;77;male;SP;left;right;1;0;0;0;15;1;0;0;0;1;fake_dog;323.32;1;S;P;NA;NA;NA
74;Mulan;mixbreed;115;female;SP;left;left;0;0;1;0;1;0;0;1;0;1;fake_dog;321.84;1;S;P;NA;NA;NA
75;Nana;mixbreed;67;female;CP;right;left;0;0;0;0;9;0;0;0;0;1;fake_dog;322.04;1;C;P;NA;NA;NA
76;Nanouk2;Australian_Shepherd;88;female;SP;left;right;0;0;0;0;0;0;0;0;0;0;human;319.56;0;S;P;NA;NA;NA
77;Nils2;Golden_retriever;63;male;CP;left;right;3;0;5;0;16;1;0;1;0;1;fake_dog;330.44;1;C;P;fake_dog;329.8;1
78;Orlando;Long-Haired Collie;109;male;CP;right;right;5;0;2;1;16;1;0;1;1;1;fake_dog;324.72;1;C;P;fake_dog;324.52;1
79;Pamina2;mixbreed;57;female;CM;left;right;0;0;0;0;6;0;0;0;0;1;fake_dog;350.8;1;C;M;NA;NA;NA
80;Paul2;mixbreed;31;male;SM;left;left;1;0;0;0;9;1;0;0;0;1;human;312.44;0;S;M;human;312.44;0
81;Pepina;Boxer;78;female;CP;right;left;9;0;0;8;29;1;0;0;1;1;human;307.48;0;C;P;fake_dog;307.6;1
82;Poppy2;Miniature_Poodle_Spaniel_Mix;61;female;SP;right;left;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;S;P;NA;NA;NA
83;Riu;Australian_Shepherd;17;female;CP;left;right;5;22;1;10;19;1;1;1;1;1;fake_dog;324.04;1;C;P;fake_dog;324.08;1
84;Ronja;mixbreed;101;female;SM;right;left;1;0;1;0;5;1;0;1;0;1;fake_dog;319;1;S;M;fake_dog;319;1
85;Runa;mixbreed;55;female;CM;left;right;3;0;0;3;12;1;0;0;1;1;fake_dog;320.36;1;C;M;fake_dog;320.52;1
86;Sambesi;Rhodesian_Ridgeback;44;female;SM;right;right;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;S;M;NA;NA;NA
87;Sammy8;Labradoodle;32;male;SP;left;right;0;0;0;0;17;0;0;0;0;1;fake_dog;327.76;1;S;P;NA;NA;NA
88;Scampi;mixbreed;69;male;CP;right;right;2;0;0;0;9;1;0;0;0;1;fake_dog;317.6;1;C;P;fake_dog;317.68;1
89;Schoko;Magyar_Viszla;114;female;SM;left;right;0;0;0;1;1;0;0;0;1;1;fake_dog;325.36;1;S;M;NA;NA;NA
90;Sepp;Beagle;87;male;SM;right;right;0;0;0;0;6;0;0;0;0;1;human;318.32;0;S;M;NA;NA;NA
91;Sheila;mixbreed;81;female;SM;left;right;1;0;0;0;4;1;0;0;0;1;fake_dog;326.96;1;S;M;NA;NA;NA
92;Sixtus;Brabanter_Griffon;37;male;SM;right;right;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;S;M;NA;NA;NA
93;Snoopy6;Beagle;90;male;CM;right;right;1;0;4;0;4;1;0;1;0;1;human;338.76;0;C;M;human;338.68;0
94;Sophie;Papillon;56;female;SM;right;left;7;0;1;0;20;1;0;1;0;1;fake_dog;322.2;1;S;M;fake_dog;322.36;1
95;Spin;Shetland_Sheepdog;46;male;SP;right;left;2;0;0;0;9;1;0;0;0;1;fake_dog;309.56;1;S;P;fake_dog;309.56;1
96;Suka-Sevilla;Galgo;113;female;SP;right;left;0;0;0;0;4;0;0;0;0;1;fake_dog;326.04;1;S;P;NA;NA;NA
97;Sunny10;Miniature_Poodle;30;female;SM;right;right;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;S;M;NA;NA;NA
98;Thor;Husky;33;male;CM;left;left;1;1;2;0;15;1;1;1;0;1;fake_dog;326.24;1;C;M;fake_dog;326.32;1
99;Yuki4;mixbreed;49;female;CP;left;right;4;4;0;0;18;1;1;0;0;1;human;326.4;0;C;P;human;326.28;0
100;Zeus3;mixbreed;57;male;SM;right;left;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;S;M;NA;NA;NA
101;Zoe4;German Spitz_Pomeranian;137;female;CP;right;left;0;0;0;0;1;0;0;0;0;1;human;321.04;0;C;P;NA;NA;NA
102;Zuri;Rhodesian_Ridgeback;119;female;CP;left;right;1;0;0;0;6;1;0;0;0;1;fake_dog;317.72;1;C;P;NA;NA;NA
